Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,52,1,Some Random Commen with Id 0
1,0,4,65,8,Some Random Commen with Id 1
2,0,4,128,5,Some Random Commen with Id 2
3,0,4,180,9,Some Random Commen with Id 3
4,0,4,25,1,Some Random Commen with Id 4
5,0,4,144,0,Some Random Commen with Id 5
6,0,4,73,0,Some Random Commen with Id 6
7,0,4,78,5,Some Random Commen with Id 7
8,0,4,63,8,Some Random Commen with Id 8
9,1,3,3,3,Some Random Commen with Id 9
10,1,3,19,3,Some Random Commen with Id 10
11,2,6,30,5,Some Random Commen with Id 11
12,2,6,103,9,Some Random Commen with Id 12
13,2,6,168,1,Some Random Commen with Id 13
14,2,6,98,9,Some Random Commen with Id 14
15,3,3,36,3,Some Random Commen with Id 15
16,3,3,21,8,Some Random Commen with Id 16
17,3,3,97,5,Some Random Commen with Id 17
18,3,3,93,1,Some Random Commen with Id 18
19,3,3,150,6,Some Random Commen with Id 19
20,3,3,11,2,Some Random Commen with Id 20
21,3,3,11,7,Some Random Commen with Id 21
22,3,3,108,4,Some Random Commen with Id 22
23,3,3,56,0,Some Random Commen with Id 23
24,4,5,24,2,Some Random Commen with Id 24
25,4,5,111,9,Some Random Commen with Id 25
26,4,5,147,8,Some Random Commen with Id 26
27,4,5,95,8,Some Random Commen with Id 27
28,5,5,84,4,Some Random Commen with Id 28
29,5,5,188,4,Some Random Commen with Id 29
30,5,5,58,7,Some Random Commen with Id 30
31,7,7,137,7,Some Random Commen with Id 31
32,8,9,5,1,Some Random Commen with Id 32
33,8,9,31,4,Some Random Commen with Id 33
34,8,9,156,1,Some Random Commen with Id 34
35,8,9,101,6,Some Random Commen with Id 35
36,8,9,185,0,Some Random Commen with Id 36
37,9,5,22,6,Some Random Commen with Id 37
38,9,5,141,6,Some Random Commen with Id 38
39,9,5,24,9,Some Random Commen with Id 39
40,9,5,189,7,Some Random Commen with Id 40
41,9,5,124,3,Some Random Commen with Id 41
42,9,5,102,6,Some Random Commen with Id 42
43,9,5,141,2,Some Random Commen with Id 43
44,10,3,86,0,Some Random Commen with Id 44
45,10,3,80,6,Some Random Commen with Id 45
46,10,3,41,5,Some Random Commen with Id 46
47,10,3,150,5,Some Random Commen with Id 47
48,10,3,26,6,Some Random Commen with Id 48
49,11,2,150,6,Some Random Commen with Id 49
50,11,2,28,1,Some Random Commen with Id 50
51,11,2,109,9,Some Random Commen with Id 51
52,11,2,46,2,Some Random Commen with Id 52
